11:22:30.260 -> Flow rate: 0L/min	Output Liquid Quantity: 0mL
11:27:56.827 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:57.819 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:58.852 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:59.862 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:00.862 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:01.866 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:02.853 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:03.873 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:04.877 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:05.881 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:06.871 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:07.876 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:08.882 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:09.904 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:10.902 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:11.904 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:12.904 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:13.905 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:14.894 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:15.933 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:16.902 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:17.906 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:18.949 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:19.933 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:20.948 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:21.952 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:22.969 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:23.942 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:24.967 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:25.961 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:26.967 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:27.959 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:28.974 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:30.004 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:31.011 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:31.989 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:32.997 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:34.011 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:35.026 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:36.009 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:37.012 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:38.022 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:39.029 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:40.012 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:41.022 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:42.043 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:43.025 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:44.063 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:45.057 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:46.063 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:47.042 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:48.058 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:49.092 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:50.094 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:51.077 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:52.065 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:53.082 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:54.108 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:55.107 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:56.122 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:57.093 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:58.112 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:28:59.128 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:00.103 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:01.140 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:02.122 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:03.130 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:04.150 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:05.155 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:06.158 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:07.148 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:08.156 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:09.163 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:10.168 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:11.184 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:12.198 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:13.182 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:14.186 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:15.209 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:16.186 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:17.216 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:18.205 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:19.209 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:20.246 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:21.236 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:22.224 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:23.231 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:24.215 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:25.237 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:26.242 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:27.246 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:28.289 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:29.245 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:30.260 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:31.259 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:32.261 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:33.267 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:34.273 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:35.296 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:36.285 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:37.307 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:38.310 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:39.293 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:40.304 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:41.306 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:42.312 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:43.335 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:44.328 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:45.345 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:46.337 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:47.350 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:48.337 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:49.361 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:50.338 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:51.346 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:52.379 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:53.373 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:54.379 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:55.368 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:56.374 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:57.380 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:58.388 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:29:59.395 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:30:00.401 -> 	12LFlow rate: 9L/min	Output Liquid Quantity: 13137mL
11:30:01.389 -> 	13LFlow rate: 11L/min	Output Liquid Quantity: 13322mL
11:30:02.400 -> 	13LFlow rate: 11L/min	Output Liquid Quantity: 13507mL
11:30:03.418 -> 	13LFlow rate: 11L/min	Output Liquid Quantity: 13692mL
11:30:04.410 -> 	13LFlow rate: 11L/min	Output Liquid Quantity: 13877mL
11:30:05.417 -> 	13LFlow rate: 10L/min	Output Liquid Quantity: 14058mL
11:30:06.441 -> 	14LFlow rate: 11L/min	Output Liquid Quantity: 14243mL
11:30:07.448 -> 	14LFlow rate: 11L/min	Output Liquid Quantity: 14428mL
11:30:08.436 -> 	14LFlow rate: 11L/min	Output Liquid Quantity: 14613mL
11:30:09.431 -> 	14LFlow rate: 11L/min	Output Liquid Quantity: 14798mL
11:30:10.465 -> 	14LFlow rate: 11L/min	Output Liquid Quantity: 14983mL
11:30:11.453 -> 	14LFlow rate: 8L/min	Output Liquid Quantity: 15131mL
11:30:12.453 -> 	15LFlow rate: 1L/min	Output Liquid Quantity: 15164mL
11:30:13.460 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:14.485 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:15.471 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:16.478 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:17.483 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:18.509 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:19.497 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:20.504 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:21.493 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:22.503 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:23.492 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:24.515 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:25.520 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:26.507 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:27.534 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:28.518 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:29.542 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:30.548 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:31.555 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:32.540 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:33.545 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:34.573 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:35.578 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:36.574 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:37.576 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:38.565 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:39.590 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:40.596 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:41.587 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:42.614 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:43.584 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:44.593 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:45.602 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:46.641 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:47.618 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:48.625 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:49.638 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:50.628 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:51.632 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:52.670 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:53.675 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:54.664 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:55.687 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:56.644 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:57.665 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:58.666 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:30:59.666 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:00.668 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:01.687 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:02.718 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:03.687 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:04.711 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:05.702 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:06.707 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:07.708 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:08.709 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:09.724 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:10.729 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:11.733 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:12.727 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:13.750 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:14.747 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:15.749 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:16.766 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:17.756 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:18.777 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:19.767 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:20.775 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:21.802 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:22.779 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:23.816 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:24.823 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:25.798 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:26.819 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:27.795 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:28.800 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:29.810 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:30.812 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:31.843 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:32.833 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:33.834 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:34.840 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:35.846 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:36.836 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:37.843 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:38.842 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:39.854 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:40.879 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:41.892 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:42.871 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:43.877 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:44.882 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:45.909 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:46.912 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:47.900 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:48.923 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:49.911 -> 	15LFlow rate: 0L/min	Output Liquid Quantity: 15167mL
11:31:50.917 -> 	15LFlow rate: 6L/min	Output Liquid Quantity: 15278mL
11:31:51.929 -> 	15LFlow rate: 11L/min	Output Liquid Quantity: 15463mL
11:31:52.922 -> 	15LFlow rate: 11L/min	Output Liquid Quantity: 15651mL
11:31:53.930 -> 	15LFlow rate: 11L/min	Output Liquid Quantity: 15836mL
11:31:54.936 -> 	15LFlow rate: 11L/min	Output Liquid Quantity: 16024mL
11:31:55.942 -> 	16LFlow rate: 11L/min	Output Liquid Quantity: 16209mL
11:31:56.933 -> 	16LFlow rate: 11L/min	Output Liquid Quantity: 16394mL
11:31:57.954 -> 	16LFlow rate: 11L/min	Output Liquid Quantity: 16579mL
11:31:58.960 -> 	16LFlow rate: 10L/min	Output Liquid Quantity: 16760mL
11:31:59.949 -> 	16LFlow rate: 11L/min	Output Liquid Quantity: 16948mL
11:32:00.973 -> 	16LFlow rate: 11L/min	Output Liquid Quantity: 17133mL
11:32:01.952 -> 	17LFlow rate: 11L/min	Output Liquid Quantity: 17318mL
11:32:02.967 -> 	17LFlow rate: 11L/min	Output Liquid Quantity: 17506mL
11:32:03.990 -> 	17LFlow rate: 11L/min	Output Liquid Quantity: 17691mL
11:32:04.998 -> 	17LFlow rate: 11L/min	Output Liquid Quantity: 17879mL
11:32:05.984 -> 	17LFlow rate: 11L/min	Output Liquid Quantity: 18064mL
11:32:06.989 -> 	18LFlow rate: 11L/min	Output Liquid Quantity: 18252mL
11:32:08.019 -> 	18LFlow rate: 11L/min	Output Liquid Quantity: 18437mL
11:32:09.001 -> 	18LFlow rate: 11L/min	Output Liquid Quantity: 18625mL
11:32:10.020 -> 	18LFlow rate: 11L/min	Output Liquid Quantity: 18813mL
11:32:11.035 -> 	18LFlow rate: 7L/min	Output Liquid Quantity: 18938mL
11:32:12.017 -> 	18LFlow rate: 1L/min	Output Liquid Quantity: 18963mL
11:32:13.020 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:14.025 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:15.037 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:16.048 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:17.053 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:18.033 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:19.048 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:20.056 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:21.063 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:22.043 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:23.067 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:24.073 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:25.074 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:26.080 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:27.083 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:28.070 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:29.096 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:30.097 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:31.104 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:32.091 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:33.117 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:34.119 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:35.149 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:36.129 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:37.145 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:38.117 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:39.139 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:40.140 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:41.157 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:42.171 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:43.158 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:44.181 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:45.185 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:46.192 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:47.177 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:48.163 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:49.168 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:50.206 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:51.180 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:52.185 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:53.220 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:54.223 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:55.200 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:56.217 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:57.221 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:58.243 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:32:59.247 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:00.251 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:01.260 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:02.273 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:03.258 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:04.259 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:05.261 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:06.268 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:07.251 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:08.275 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:09.282 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:10.299 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:11.276 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:12.276 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:13.281 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:14.303 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:15.333 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:16.294 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:17.304 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:18.303 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:19.309 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:20.359 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:21.336 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
