11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
14:16:10.494 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:11.476 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:12.513 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:13.497 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:14.531 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:15.505 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:16.531 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:17.512 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:18.513 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:19.553 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:20.524 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:21.544 -> 	2032LFlow rate: 0.00L/min	Output Liquid Quantity: 2032669mL
14:16:22.574 -> 	2032LFlow rate: 6.66L/min	Output Liquid Quantity: 2032780mL
14:16:23.556 -> 	2032LFlow rate: 10.66L/min	Output Liquid Quantity: 2032957mL
14:16:24.551 -> 	2032LFlow rate: 10.43L/min	Output Liquid Quantity: 2033130mL
14:16:25.576 -> 	2033LFlow rate: 10.43L/min	Output Liquid Quantity: 2033303mL
14:16:26.560 -> 	2033LFlow rate: 10.43L/min	Output Liquid Quantity: 2033476mL
14:16:27.557 -> 	2033LFlow rate: 10.43L/min	Output Liquid Quantity: 2033649mL
14:16:28.587 -> 	2033LFlow rate: 4.88L/min	Output Liquid Quantity: 2033730mL
14:16:29.596 -> 	2033LFlow rate: 0.89L/min	Output Liquid Quantity: 2033744mL
14:16:30.606 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:31.582 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:32.584 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:33.612 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:34.590 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:35.593 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:36.622 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:37.632 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:38.643 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:39.610 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:40.626 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:41.637 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:42.627 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:43.642 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:44.673 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:45.662 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:46.646 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:47.657 -> 	2033LFlow rate: 0.00L/min	Output Liquid Quantity: 2033744mL
14:16:48.688 -> 	2033LFlow rate: 2.44L/min	Output Liquid Quantity: 2033784mL
14:16:49.689 -> 	2033LFlow rate: 10.43L/min	Output Liquid Quantity: 2033957mL
14:16:50.682 -> 	2033LFlow rate: 10.43L/min	Output Liquid Quantity: 2034130mL
14:16:51.695 -> 	2034LFlow rate: 10.43L/min	Output Liquid Quantity: 2034303mL
14:16:52.677 -> 	2034LFlow rate: 10.66L/min	Output Liquid Quantity: 2034480mL
14:16:53.710 -> 	2034LFlow rate: 10.43L/min	Output Liquid Quantity: 2034653mL
14:16:54.720 -> 	2034LFlow rate: 10.43L/min	Output Liquid Quantity: 2034826mL
14:16:55.695 -> 	2034LFlow rate: 10.43L/min	Output Liquid Quantity: 2034999mL
14:16:56.719 -> 	2034LFlow rate: 10.42L/min	Output Liquid Quantity: 2035172mL
14:16:57.698 -> 	2035LFlow rate: 10.43L/min	Output Liquid Quantity: 2035345mL
14:16:58.729 -> 	2035LFlow rate: 10.66L/min	Output Liquid Quantity: 2035522mL
14:16:59.726 -> 	2035LFlow rate: 10.21L/min	Output Liquid Quantity: 2035692mL
14:17:00.739 -> 	2035LFlow rate: 10.43L/min	Output Liquid Quantity: 2035865mL
14:17:01.718 -> 	2035LFlow rate: 10.66L/min	Output Liquid Quantity: 2036042mL
14:17:02.743 -> 	2036LFlow rate: 10.43L/min	Output Liquid Quantity: 2036215mL
14:17:03.729 -> 	2036LFlow rate: 10.43L/min	Output Liquid Quantity: 2036388mL
14:17:04.759 -> 	2036LFlow rate: 10.43L/min	Output Liquid Quantity: 2036561mL
14:17:05.765 -> 	2036LFlow rate: 10.66L/min	Output Liquid Quantity: 2036738mL
14:17:06.768 -> 	2036LFlow rate: 10.43L/min	Output Liquid Quantity: 2036911mL
14:17:07.749 -> 	2036LFlow rate: 10.43L/min	Output Liquid Quantity: 2037084mL
14:17:08.757 -> 	2037LFlow rate: 10.43L/min	Output Liquid Quantity: 2037257mL
14:17:09.767 -> 	2037LFlow rate: 5.11L/min	Output Liquid Quantity: 2037342mL
14:17:10.774 -> 	2037LFlow rate: 0.89L/min	Output Liquid Quantity: 2037356mL
14:17:11.800 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:12.779 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:13.798 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:14.795 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:15.799 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:16.830 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:17.829 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:18.813 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:19.808 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:20.832 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:21.842 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:22.821 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:23.825 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:24.826 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:25.862 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:26.836 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:27.857 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:28.857 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:29.852 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:30.857 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:31.862 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:32.882 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:33.892 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:34.870 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:35.902 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:36.923 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:37.902 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:38.928 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:39.905 -> 	2037LFlow rate: 0.00L/min	Output Liquid Quantity: 2037356mL
14:17:40.923 -> 	2037LFlow rate: 9.77L/min	Output Liquid Quantity: 2037518mL
14:17:41.933 -> 	2037LFlow rate: 10.66L/min	Output Liquid Quantity: 2037695mL
14:17:42.913 -> 	2037LFlow rate: 10.43L/min	Output Liquid Quantity: 2037868mL
14:17:43.945 -> 	2037LFlow rate: 10.43L/min	Output Liquid Quantity: 2038041mL
14:17:44.917 -> 	2038LFlow rate: 10.43L/min	Output Liquid Quantity: 2038214mL
14:17:45.948 -> 	2038LFlow rate: 10.43L/min	Output Liquid Quantity: 2038387mL
14:17:46.933 -> 	2038LFlow rate: 10.43L/min	Output Liquid Quantity: 2038560mL
14:17:47.959 -> 	2038LFlow rate: 10.43L/min	Output Liquid Quantity: 2038733mL
14:17:48.953 -> 	2038LFlow rate: 10.43L/min	Output Liquid Quantity: 2038906mL
14:17:49.953 -> 	2038LFlow rate: 10.66L/min	Output Liquid Quantity: 2039083mL
14:17:50.963 -> 	2039LFlow rate: 10.43L/min	Output Liquid Quantity: 2039256mL
14:17:51.989 -> 	2039LFlow rate: 10.43L/min	Output Liquid Quantity: 2039429mL
14:17:52.961 -> 	2039LFlow rate: 10.43L/min	Output Liquid Quantity: 2039602mL
14:17:53.962 -> 	2039LFlow rate: 10.43L/min	Output Liquid Quantity: 2039775mL
14:17:54.987 -> 	2039LFlow rate: 10.43L/min	Output Liquid Quantity: 2039948mL
14:17:55.999 -> 	2039LFlow rate: 10.66L/min	Output Liquid Quantity: 2040125mL
14:17:56.978 -> 	2040LFlow rate: 10.43L/min	Output Liquid Quantity: 2040298mL
14:17:58.004 -> 	2040LFlow rate: 10.43L/min	Output Liquid Quantity: 2040471mL
14:17:59.002 -> 	2040LFlow rate: 10.66L/min	Output Liquid Quantity: 2040648mL
14:17:59.996 -> 	2040LFlow rate: 10.43L/min	Output Liquid Quantity: 2040821mL
14:18:01.029 -> 	2040LFlow rate: 10.21L/min	Output Liquid Quantity: 2040991mL
14:18:02.003 -> 	2040LFlow rate: 2.89L/min	Output Liquid Quantity: 2041039mL
14:18:03.018 -> 	2041LFlow rate: 0.44L/min	Output Liquid Quantity: 2041046mL
14:18:04.051 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:05.037 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:06.023 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:07.058 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:08.069 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:09.048 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:10.058 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:11.076 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:12.071 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:13.050 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:14.087 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:15.095 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:16.073 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:17.110 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:18.076 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:19.109 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:20.118 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:21.096 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:22.109 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:23.105 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:24.143 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:25.142 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:26.136 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:27.121 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:28.156 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:29.169 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:30.130 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:31.145 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:32.152 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:33.163 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:34.182 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:35.178 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:36.184 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:37.200 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:38.181 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:39.195 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:40.176 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:41.181 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:42.208 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:43.234 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:44.218 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:45.228 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:46.213 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:47.244 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:48.223 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:49.254 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:50.238 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:51.234 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:52.260 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:53.270 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:54.249 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:55.274 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:56.269 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:57.300 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:58.286 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:18:59.297 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:00.286 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:01.286 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:02.308 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:03.318 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:04.302 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:05.329 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:06.315 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:07.346 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:08.353 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:09.317 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:10.327 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:11.368 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:12.339 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:13.340 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:14.364 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:15.366 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:16.387 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:17.371 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:18.366 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:19.391 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:20.374 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:21.384 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:22.386 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:23.405 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:24.422 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:25.408 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:26.407 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:27.416 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:28.425 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:29.432 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:30.442 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:31.445 -> 	2041LFlow rate: 0.00L/min	Output Liquid Quantity: 2041046mL
14:19:32.453 -> 	2041LFlow rate: 7.33L/min	Output Liquid Quantity: 2041168mL
14:19:33.448 -> 	2041LFlow rate: 10.65L/min	Output Liquid Quantity: 2041345mL
14:19:34.448 -> 	2041LFlow rate: 10.66L/min	Output Liquid Quantity: 2041522mL
14:19:35.442 -> 	2041LFlow rate: 10.43L/min	Output Liquid Quantity: 2041695mL
14:19:36.451 -> 	2041LFlow rate: 10.43L/min	Output Liquid Quantity: 2041868mL
14:19:37.485 -> 	2041LFlow rate: 10.66L/min	Output Liquid Quantity: 2042045mL
14:19:38.493 -> 	2042LFlow rate: 10.43L/min	Output Liquid Quantity: 2042218mL
14:19:39.484 -> 	2042LFlow rate: 10.43L/min	Output Liquid Quantity: 2042391mL
14:19:40.477 -> 	2042LFlow rate: 10.66L/min	Output Liquid Quantity: 2042568mL
14:19:41.471 -> 	2042LFlow rate: 10.43L/min	Output Liquid Quantity: 2042741mL
14:19:42.505 -> 	2042LFlow rate: 10.43L/min	Output Liquid Quantity: 2042914mL
14:19:43.501 -> 	2042LFlow rate: 10.66L/min	Output Liquid Quantity: 2043091mL
14:19:44.512 -> 	2043LFlow rate: 10.43L/min	Output Liquid Quantity: 2043264mL
14:19:45.491 -> 	2043LFlow rate: 10.66L/min	Output Liquid Quantity: 2043441mL
14:19:46.522 -> 	2043LFlow rate: 10.43L/min	Output Liquid Quantity: 2043614mL
14:19:47.521 -> 	2043LFlow rate: 10.43L/min	Output Liquid Quantity: 2043787mL
14:19:48.542 -> 	2043LFlow rate: 10.66L/min	Output Liquid Quantity: 2043964mL
14:19:49.519 -> 	2043LFlow rate: 10.43L/min	Output Liquid Quantity: 2044137mL
14:19:50.536 -> 	2044LFlow rate: 10.43L/min	Output Liquid Quantity: 2044310mL
14:19:51.528 -> 	2044LFlow rate: 10.43L/min	Output Liquid Quantity: 2044483mL
14:19:52.545 -> 	2044LFlow rate: 10.43L/min	Output Liquid Quantity: 2044656mL
14:19:53.524 -> 	2044LFlow rate: 10.43L/min	Output Liquid Quantity: 2044829mL
14:19:54.556 -> 	2044LFlow rate: 10.43L/min	Output Liquid Quantity: 2045002mL
14:19:55.543 -> 	2045LFlow rate: 10.43L/min	Output Liquid Quantity: 2045175mL
14:19:56.569 -> 	2045LFlow rate: 10.66L/min	Output Liquid Quantity: 2045352mL
14:19:57.569 -> 	2045LFlow rate: 10.21L/min	Output Liquid Quantity: 2045522mL
14:19:58.564 -> 	2045LFlow rate: 10.66L/min	Output Liquid Quantity: 2045699mL
14:19:59.569 -> 	2045LFlow rate: 10.43L/min	Output Liquid Quantity: 2045872mL
14:20:00.568 -> 	2045LFlow rate: 10.43L/min	Output Liquid Quantity: 2046045mL
14:20:01.592 -> 	2046LFlow rate: 10.66L/min	Output Liquid Quantity: 2046222mL
14:20:02.611 -> 	2046LFlow rate: 10.66L/min	Output Liquid Quantity: 2046399mL
14:20:03.571 -> 	2046LFlow rate: 10.43L/min	Output Liquid Quantity: 2046572mL
14:20:04.598 -> 	2046LFlow rate: 10.66L/min	Output Liquid Quantity: 2046749mL
14:20:05.614 -> 	2046LFlow rate: 10.43L/min	Output Liquid Quantity: 2046922mL
14:20:06.614 -> 	2046LFlow rate: 10.66L/min	Output Liquid Quantity: 2047099mL
14:20:07.624 -> 	2047LFlow rate: 10.43L/min	Output Liquid Quantity: 2047272mL
14:20:08.598 -> 	2047LFlow rate: 10.43L/min	Output Liquid Quantity: 2047445mL
14:20:09.599 -> 	2047LFlow rate: 10.43L/min	Output Liquid Quantity: 2047618mL
14:20:10.619 -> 	2047LFlow rate: 10.66L/min	Output Liquid Quantity: 2047795mL
14:20:11.624 -> 	2047LFlow rate: 10.43L/min	Output Liquid Quantity: 2047968mL
14:20:12.648 -> 	2047LFlow rate: 10.42L/min	Output Liquid Quantity: 2048141mL
14:20:13.646 -> 	2048LFlow rate: 10.66L/min	Output Liquid Quantity: 2048318mL
14:20:14.666 -> 	2048LFlow rate: 10.66L/min	Output Liquid Quantity: 2048495mL
14:20:15.664 -> 	2048LFlow rate: 10.43L/min	Output Liquid Quantity: 2048668mL
14:20:16.637 -> 	2048LFlow rate: 10.43L/min	Output Liquid Quantity: 2048841mL
14:20:17.655 -> 	2048LFlow rate: 10.66L/min	Output Liquid Quantity: 2049018mL
14:20:18.660 -> 	2049LFlow rate: 10.43L/min	Output Liquid Quantity: 2049191mL
14:20:19.656 -> 	2049LFlow rate: 10.66L/min	Output Liquid Quantity: 2049368mL
14:20:20.682 -> 	2049LFlow rate: 10.43L/min	Output Liquid Quantity: 2049541mL
14:20:21.697 -> 	2049LFlow rate: 10.43L/min	Output Liquid Quantity: 2049714mL
14:20:22.681 -> 	2049LFlow rate: 10.43L/min	Output Liquid Quantity: 2049887mL
14:20:23.708 -> 	2049LFlow rate: 10.66L/min	Output Liquid Quantity: 2050064mL
14:20:24.692 -> 	2050LFlow rate: 10.43L/min	Output Liquid Quantity: 2050237mL
14:20:25.718 -> 	2050LFlow rate: 10.43L/min	Output Liquid Quantity: 2050410mL
14:20:26.689 -> 	2050LFlow rate: 10.66L/min	Output Liquid Quantity: 2050587mL
14:20:27.732 -> 	2050LFlow rate: 10.66L/min	Output Liquid Quantity: 2050764mL
14:20:28.694 -> 	2050LFlow rate: 10.43L/min	Output Liquid Quantity: 2050937mL
14:20:29.701 -> 	2050LFlow rate: 8.66L/min	Output Liquid Quantity: 2051081mL
14:20:30.706 -> 	2051LFlow rate: 1.78L/min	Output Liquid Quantity: 2051110mL
14:20:31.706 -> 	2051LFlow rate: 0.22L/min	Output Liquid Quantity: 2051113mL
14:20:32.750 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:33.718 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:34.724 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:35.757 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:36.757 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:37.758 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:38.781 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:39.759 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:40.782 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:41.762 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:42.780 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:43.790 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:44.776 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:45.776 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:46.778 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:47.809 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:48.815 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:49.825 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:50.809 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:51.829 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:52.813 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:53.844 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:54.853 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:55.832 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:56.863 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:57.868 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:58.843 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:20:59.842 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:00.858 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:01.867 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:02.862 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:03.895 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:04.885 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:05.878 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:06.884 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:07.910 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
