Flow rate: 11.10L/min	Output Liquid Quantity: 185mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 5.99L/min	Output Liquid Quantity: 19573mL
	19LFlow rate: 10.66L/min	Output Liquid Quantity: 19750mL
	19LFlow rate: 10.66L/min	Output Liquid Quantity: 19927mL
	19LFlow rate: 10.66L/min	Output Liquid Quantity: 20104mL
	20LFlow rate: 10.88L/min	Output Liquid Quantity: 20285mL
	20LFlow rate: 10.66L/min	Output Liquid Quantity: 20462mL
	20LFlow rate: 10.66L/min	Output Liquid Quantity: 20639mL
	20LFlow rate: 10.66L/min	Output Liquid Quantity: 20816mL
	20LFlow rate: 10.66L/min	Output Liquid Quantity: 20993mL
	20LFlow rate: 10.66L/min	Output Liquid Quantity: 21170mL
	21LFlow rate: 10.88L/min	Output Liquid Quantity: 21351mL
	21LFlow rate: 10.66L/min	Output Liquid Quantity: 21528mL
	21LFlow rate: 10.66L/min	Output Liquid Quantity: 21705mL
	21LFlow rate: 10.66L/min	Output Liquid Quantity: 21882mL
	21LFlow rate: 10.66L/min	Output Liquid Quantity: 22059mL
	22LFlow rate: 10.66L/min	Output Liquid Quantity: 22236mL
	22LFlow rate: 10.65L/min	Output Liquid Quantity: 22413mL
	22LFlow rate: 10.66L/min	Output Liquid Quantity: 22590mL
	22LFlow rate: 10.66L/min	Output Liquid Quantity: 22767mL
	22LFlow rate: 10.88L/min	Output Liquid Quantity: 22948mL
	22LFlow rate: 10.66L/min	Output Liquid Quantity: 23125mL
	23LFlow rate: 10.66L/min	Output Liquid Quantity: 23302mL
	23LFlow rate: 10.66L/min	Output Liquid Quantity: 23479mL
	23LFlow rate: 10.66L/min	Output Liquid Quantity: 23656mL
	23LFlow rate: 10.66L/min	Output Liquid Quantity: 23833mL
	23LFlow rate: 10.88L/min	Output Liquid Quantity: 24014mL
	24LFlow rate: 10.66L/min	Output Liquid Quantity: 24191mL
	24LFlow rate: 10.66L/min	Output Liquid Quantity: 24368mL
	24LFlow rate: 10.66L/min	Output Liquid Quantity: 24545mL
	24LFlow rate: 10.66L/min	Output Liquid Quantity: 24722mL
	24LFlow rate: 10.88L/min	Output Liquid Quantity: 24903mL
	24LFlow rate: 10.21L/min	Output Liquid Quantity: 25073mL
	25LFlow rate: 2.66L/min	Output Liquid Quantity: 25117mL
	25LFlow rate: 0.44L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 0.00L/min	Output Liquid Quantity: 25124mL
	25LFlow rate: 6.22L/min	Output Liquid Quantity: 25227mL
	25LFlow rate: 10.88L/min	Output Liquid Quantity: 25408mL
	25LFlow rate: 10.88L/min	Output Liquid Quantity: 25589mL
	25LFlow rate: 10.66L/min	Output Liquid Quantity: 25766mL
	25LFlow rate: 10.88L/min	Output Liquid Quantity: 25947mL
	25LFlow rate: 10.21L/min	Output Liquid Quantity: 26117mL
	26LFlow rate: 2.89L/min	Output Liquid Quantity: 26165mL
	26LFlow rate: 0.44L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 0.00L/min	Output Liquid Quantity: 26172mL
	26LFlow rate: 3.55L/min	Output Liquid Quantity: 26231mL
	26LFlow rate: 10.88L/min	Output Liquid Quantity: 26412mL
	26LFlow rate: 10.66L/min	Output Liquid Quantity: 26589mL
	26LFlow rate: 10.88L/min	Output Liquid Quantity: 26770mL
	26LFlow rate: 10.43L/min	Output Liquid Quantity: 26943mL
	26LFlow rate: 10.88L/min	Output Liquid Quantity: 27124mL
	27LFlow rate: 10.66L/min	Output Liquid Quantity: 27301mL
	27LFlow rate: 10.66L/min	Output Liquid Quantity: 27478mL
	27LFlow rate: 10.66L/min	Output Liquid Quantity: 27655mL
	27LFlow rate: 10.88L/min	Output Liquid Quantity: 27836mL
	27LFlow rate: 7.99L/min	Output Liquid Quantity: 27969mL
	27LFlow rate: 1.55L/min	Output Liquid Quantity: 27994mL
	27LFlow rate: 0.22L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27997mL
	27LFlow rate: 0.67L/min	Output Liquid Quantity: 28008mL
	28LFlow rate: 10.43L/min	Output Liquid Quantity: 28181mL
	28LFlow rate: 10.66L/min	Output Liquid Quantity: 28358mL
	28LFlow rate: 10.66L/min	Output Liquid Quantity: 28535mL
	28LFlow rate: 10.66L/min	Output Liquid Quantity: 28712mL
	28LFlow rate: 10.88L/min	Output Liquid Quantity: 28893mL
	28LFlow rate: 10.66L/min	Output Liquid Quantity: 29070mL
	29LFlow rate: 10.66L/min	Output Liquid Quantity: 29247mL
	29LFlow rate: 10.66L/min	Output Liquid Quantity: 29424mL
	29LFlow rate: 10.88L/min	Output Liquid Quantity: 29605mL
	29LFlow rate: 10.66L/min	Output Liquid Quantity: 29782mL
	29LFlow rate: 10.88L/min	Output Liquid Quantity: 29963mL
	29LFlow rate: 10.66L/min	Output Liquid Quantity: 30140mL
	30LFlow rate: 10.66L/min	Output Liquid Quantity: 30317mL
	30LFlow rate: 10.88L/min	Output Liquid Quantity: 30498mL
	30LFlow rate: 10.66L/min	Output Liquid Quantity: 30675mL
	30LFlow rate: 10.66L/min	Output Liquid Quantity: 30852mL
	30LFlow rate: 10.43L/min	Output Liquid Quantity: 31025mL
	31LFlow rate: 10.88L/min	Output Liquid Quantity: 31206mL
	31LFlow rate: 10.66L/min	Output Liquid Quantity: 31383mL
	31LFlow rate: 10.88L/min	Output Liquid Quantity: 31564mL
	31LFlow rate: 10.66L/min	Output Liquid Quantity: 31741mL
	31LFlow rate: 10.66L/min	Output Liquid Quantity: 31918mL
	31LFlow rate: 4.66L/min	Output Liquid Quantity: 31995mL
	31LFlow rate: 0.67L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
	32LFlow rate: 0.00L/min	Output Liquid Quantity: 32006mL
